
Options Analysis Report
----------------------
Available Funds: $30,000.00
Timestamp: 2025-01-16 08:09:33


PUT Options:
Symbol    Expiration  Type      Strike  Contracts     Premium    Exercise
-------------------------------------------------------------------------
QUBT      2025-01-17  PUT        11.00         27        2565         432
RGTI      2025-01-17  PUT        10.50         28        2100          70
WOLF      2025-01-17  PUT         6.50         46        1288         345
MSTZ      2025-01-17  PUT        16.00         18        1170         369
DNA       2025-01-17  PUT         9.00         33        1155         231
MSTU      2025-01-17  PUT        10.60         28        1120         140
QBTS      2025-01-17  PUT         5.50         54        1080        2403
IONQ      2025-01-17  PUT        37.00          8        1072         188
SERV      2025-01-17  PUT        18.50         16        1040         536
FTAI      2025-01-17  PUT       120.00          2        1020          57
DJT       2025-01-17  PUT        41.00          7        1001         287
GRRR      2025-01-17  PUT        15.00         20        1000        1190
SMCX      2025-01-17  PUT        40.00          7         980         326
SNAP      2025-01-17  PUT        11.50         26         962          65
MSTX      2025-01-17  PUT        48.00          6         960         438
CRNC      2025-01-17  PUT        14.00         21         945         368
SYM       2025-01-17  PUT        31.00          9         900         333
XP        2025-01-17  PUT        12.00         25         850         100
BOIL      2025-01-17  PUT        72.00          4         844         210
RCAT      2025-01-17  PUT        10.50         28         840        1176

CALL Options:
Symbol    Expiration  Type      Strike  Contracts     Premium    Exercise
-------------------------------------------------------------------------
QUBT      2025-01-17  CALL       11.50         26        2210         884
QBTS      2025-01-17  CALL        6.00         50        2000         275
RGTI      2025-01-17  CALL       11.00         28        1680        1330
IONQ      2025-01-17  CALL       37.50          8        1344         212
RCAT      2025-01-17  CALL       11.00         27        1215         216
PDYN      2025-01-17  CALL        9.00         33        1155         198
MSTU      2025-01-17  CALL       10.70         28        1120         140
MSTX      2025-01-17  CALL       49.00          6        1110         162
SMCX      2025-01-17  CALL       41.00          7        1085         374
DJT       2025-01-17  CALL       42.00          7        1064         413
SERV      2025-01-17  CALL       19.00         15        1050         248
CONL      2025-01-17  CALL       41.00          7        1015         140
SOUN      2025-01-17  CALL       14.50         20        1000         370
WOLF      2025-01-17  CALL        7.00         45         900        1912
KOLD      2025-01-17  CALL       31.00          9         855         144
SYM       2025-01-17  CALL       32.00          9         855         567
RIOT      2025-01-17  CALL       13.50         22         792          99
OKLO      2025-01-17  CALL       24.50         12         792         234
TSLL      2025-01-17  CALL       29.43         10         750         525
APLD      2025-01-17  CALL        9.00         33         726         478

